id,fecha,categoria_principal,nombre,precio_bs,precio_usd,tasa_bcv_usd,precio_ref,pagina,url_pagina,timestamp
59,2026-04-20,Ingredientes_Para_Postres,LECHE CONDEN NATULAC 50GR TUBO***,494.98,1.03,481.22,,4,https://www.plansuarez.com/index.php?route=product/category&path=238&page=4,2026-04-20T17:59:51.989869
60,2026-04-20,Ingredientes_Para_Postres,LECHE CONDEN PARMALAT 395GR,2098.11,4.36,481.22,,4,https://www.plansuarez.com/index.php?route=product/category&path=238&page=4,2026-04-20T17:59:51.989869
61,2026-04-20,Ingredientes_Para_Postres,PAPEL HIG ROSAL PLUS 4ROLL 400HOJAS NARANJA,1444.03,3.00,481.22,,4,https://www.plansuarez.com/index.php?route=product/category&path=238&page=4,2026-04-20T17:59:51.989869
62,2026-04-20,Ingredientes_Para_Postres,POLLO ENTERO XUND,4282.84,8.90,481.22,,4,https://www.plansuarez.com/index.php?route=product/category&path=238&page=4,2026-04-20T17:59:51.989869
63,2026-04-20,Ingredientes_Para_Postres,HUEVOS EL TUNAL 30UND,3777.56,7.85,481.22,,4,https://www.plansuarez.com/index.php?route=product/category&path=238&page=4,2026-04-20T17:59:51.990864
64,2026-04-20,Ingredientes_Para_Postres,ARCOS DENTALES GALACTIC X30UND,1116.42,2.32,481.22,,4,https://www.plansuarez.com/index.php?route=product/category&path=238&page=4,2026-04-20T17:59:51.990864
65,2026-04-20,Ingredientes_Para_Postres,LECHE CONDEN TIGO 395GR S/GLUTEN,882.87,1.83,481.22,,5,https://www.plansuarez.com/index.php?route=product/category&path=238&page=5,2026-04-20T17:59:55.565524
66,2026-04-20,Ingredientes_Para_Postres,LECHE EVAPO 395GR CARNATION,1738.78,3.61,481.22,,5,https://www.plansuarez.com/index.php?route=product/category&path=238&page=5,2026-04-20T17:59:55.565524
67,2026-04-20,Ingredientes_Para_Postres,LEVADURA AVEIRO 500GR DORADA,2597.55,5.40,481.22,,5,https://www.plansuarez.com/index.php?route=product/category&path=238&page=5,2026-04-20T17:59:55.565524
68,2026-04-20,Ingredientes_Para_Postres,LEVADURA AVEIRO 500GR NUEVA FORMULA,2244.01,4.66,481.22,,5,https://www.plansuarez.com/index.php?route=product/category&path=238&page=5,2026-04-20T17:59:55.565524
69,2026-04-20,Ingredientes_Para_Postres,LEVADURA PAKMAYA 125GR INSTANTANEA,2046.80,4.25,481.22,,5,https://www.plansuarez.com/index.php?route=product/category&path=238&page=5,2026-04-20T17:59:55.565524
